player_name,age,nationality,team_name,start_year,end_year,appearances,league_name,image_url
Cedric Teguia,24,Spain,Moreirense,2024,2025,23,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Miguel Puche,24,Spain,Arouca,2023,2025,55,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Léo Realpe,24,Ecuador,Famalicão,2024,2025,15,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/656409-1573144082.jpg?lm=1
Enzo Barrenechea,24,Argentina,Benfica,2025,2025,10,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/671915-1758058491.jpg?lm=1
Cristian Devenish,24,Colombia,Avs FS,2024,2025,42,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/726697-1707339505.JPG?lm=1
Matheus Pereira,24,Brazil,Santa Clara,2024,2025,38,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/739438-1639252127.jpg?lm=1
Paulo Moreira,25,Portugal,Estrela Amadora,2024,2025,36,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/375392-1743699836.jpg?lm=1
José Fontán,25,Spain,Arouca,2024,2025,39,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/609361-1643110309.jpg?lm=1
João Mendes,25,Portugal,Vit. Guimarães,2024,2025,42,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/684348-1716380253.jpg?lm=1
João Mendes,29,Portugal,Vit. Guimarães,2023,2024,58,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/504503-1695207301.jpg?lm=1
Abraham Marcus,25,Nigeria,Estrela Amadora,2025,2025,10,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/699632-1612876843.jpg?lm=1
Filipe Soares,26,Portugal,Nacional,2025,2025,10,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/357163-1694781256.png?lm=1
Rafik Guitane,26,Algeria,Estoril,2022,2025,78,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/394328-1724846346.jpg?lm=1
Dario Špikić,26,Croatia,Rio Ave,2025,2025,10,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/403290-1601583952.jpg?lm=1
Tom van de Looi,26,Netherlands,Famalicão,2024,2025,37,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/420189-1632545699.png?lm=1
Kikas,27,Portugal,Estrela Amadora,2023,2025,73,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/383807-1743700258.jpg?lm=1
Iván Barbero,27,Spain,Arouca,2025,2025,10,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/514514-1702411088.jpg?lm=1
